ventaFolio,estado,fecha,severidad
697,Equipo desbloqueado,2026-04-11 11:35,EXITO
697,Pago registrado,2026-04-19 19:50,EXITO
697,Equipo desbloqueado,2026-04-19 19:50,EXITO
697,Pago registrado,2026-04-25 19:39,EXITO
697,Equipo desbloqueado,2026-04-25 19:39,EXITO
697,Pago registrado,2026-05-02 20:07,EXITO
697,Equipo desbloqueado,2026-05-02 20:08,EXITO
697,Pago registrado,2026-05-11 18:24,EXITO
697,Equipo desbloqueado,2026-05-11 18:24,EXITO
697,Pago registrado,2026-05-20 19:40,EXITO
697,Equipo desbloqueado,2026-05-20 19:40,EXITO
